story,amountRaised,goal,url,campaignTitle,numberContributors,currencyType
"We are Alice, Brianna, Megan, Paula, and Tabitha and we are Team #WeLive of the 2016 Mongol Rally! ( The Mongol Rally is a ludicrous non-race that
  crosses 10,000 miles from England to Russia in tiny cars organized by
  the Adventurists. Yeah.) This crazy trek came to be through a series of winding events
  starting back in early 2015 and has bloomed into a modern day Fox
  Force Five. We are all passionate about women's rights, which is why
  we're interviewing women's rights groups along our route to produce an
  e-book about their needs upon our return. Why are we raising money? So we can GET to these places! We need money for petrol and chaos in
  order to get to the finish line and come home to write this book.
   Help us keep our tanks full, our cars in one piece, and our patooties
  out of trouble. What Makes Us Different We're one of the very few all-female teams participating in the
  Mongol Rally. And we're definitely the only team highlighting women's
  rights issues along our way. We also hope to inspire other women and
  girls to get out there and explore! How You Can Help Whether it's $5 or $500 we are SO THANKFUL for your help! However you
  choose to contribute is amazing. You can choose a perk or not...not
  matter what, we're totally stoked on your help! Follow Our Progress Find us on Facebook and Instagram for live updates of where we are and the
  shenanigans that are going down. We will be posting on our blog as much as we can, or track us live
    on The Adventurists website!",570,of $10k goal,https://fundrazr.com/team-we-live-on-the-road,Team #WeLive Mongol Rally 2016 - On The Road,15,U.S. Dollar
"The Victoria/Vancouver area is looking to bring Kage out for a few
  tournaments. The only way we can bring him is if his flight is paid! The mainland and the island have come together to build a set of
  tournaments from July 30-Aug 1. We are looking to fly Kage out here so
  he can come visit the West Coast, meet our players and take our
  tournament pot! Any amount helps out, we really want to make this
  happen and need all the help we can get. This crowdfunding is purely for his flight. We have the other bases
  more or less covered such as housing, and driving him from Victoria to
  Vancouver to attend the tournaments.",315,of $500 goal,https://fundrazr.com/e18mV4,Bring Kage to Victoria/Vancouver!,4,Canadian Dollar
"Hello My name is Slobodan, from Belgrade,Serbia. I am 26 years old I will tell you my story My grandfather escaped from Belgrade durinng WWII to London. Since then, my grandmother (his sister) lost contact with him. I started researching for a while about him, and found out that he
  passed away some time ago. But since my grandmother is 90 years old,
  her wish is that I go to Wales and visit his grave, research a bit
  about his life there... She is not in great health, so I would like to try and make it as
  soon as possible. HERE ARE TWO ARTICLES ABOUT ME AND MY GRANDFATHER FROM LAST YEAR,
  THAT WERE POSTED IN WALES NEWSPAPERS FIRST ARTICLE: http://www.walesonline.co.uk/news/local-news/serbian-family-search-long-lost-7855986 SECOND ARTICLE: http://www.walesonline.co.uk/news/local-news/serbian-family-overwhelmed-response-hunt-7923516 I CANNOT COLLECT ENOUGH MONEY FOR THE TRIP, VISA, AIRPLANE TICKETS,
  ACCOMMODATION, FOOD AND EVERYTHING BY MYSELF. SO, ANY DONATION WOULD
  MEAN A LOT. THANK YOU",170,of €1.5k goal,https://fundrazr.com/d14k7a,Help me visit my grandfathers grave in UK,3,Euro
"I am Wallace Peterson,i m 37 years old with a severe traumatic brain
  injury and paralysis.We live in the country,outside Nashville,Tenn. I
  was able to buy a very used wheelchair van a couple years ago,thanks
  to everyone's generous donations but it has had electrical issues.We
  are trying to raise funds to get it towed ,have it diagnosed and
  fixed! Right now,i can only travel to drs. appts and the rare weekday
  outing ,as our rural transport company does not run nights or
  weekends. please help me restore some quality to my life.Right now,i
  am merely existing.Thank you...many blessings.One love.","1,150",of $1.5k goal,https://fundrazr.com/711NYd,Please help us get Wally rolling!,18,U.S. Dollar
"The Mongol Charity Rally July 19th 2015 TEAM: ARE WE THERE YET Just 4 guys who’ll be living their life in a car, For 4ish weeks,
  rallying 10,000+ miles from the London UK to Ulan Ude Siberia The rules of the Rally are simple… 1. You can only take a farcically small vehicle 1L or less 2.
  You’re completely on your own 3. You've got to raise at least
  £1000 for charity That’s it!!!!- How we get there is up to us….. But Before we do it we'll need some assistance, your assistance, see
  ten-thousand miles + is quite a long distance in a 1litre or less car!
  Not to mention the same to return, that’s why we need to start early… Let us introduce ourselves. We are a group of adventurers fundraising
  in order to take part in a charity road rally called The Mongol Rally 2015. We call ourselves ARE WE THERE YET , in our
  team are Myself - (Andrew Takle), Andrew Ely, George Hockin &
  Lewis Don who have known each other since wee boys. Our team, along with some 300 others, will be travelling past
  countless landmarks, tourist attractions, lakes, seas, deserts, cities
  and mountain ranges as each vehicle makes their own unique route
  through countless countries. There is no set path and no support, we will be on our own facing the
  very real threat of carjacking and kidnappings, Bribery and robberies..... All things which have happened in past rallies. The rare trip offers a once in a lifetime adventure 1 of the best
  things we could do in our lives and all for charity. We are under no
  illusions that this will be easy, we cant even begin to imagine the
  dangers we will face along the way. But along the route we will
  experience a wide range of cultures and spices and even nod or smile
  if we don’t quite understand the language being used. which could be a
  problem since none of us speak a foreign language. we'll be able to
  share our journey around the world by recording our trip with lots of
  videos with our onboard dash cam and take many many photos. And yes we
  are 4 grown men in our twenty’s who will feel like teenagers again. We will also be supporting 2 charities, The Dorset & Somerset Air
  Ambulance and Cool Earth.. Cool Earth is the official charity of the Mongol Rally and is
  supported by every team taking part in the race. One of the rally rules state that at least a £1000 needs to be raised
  for charity half of which can be donated to our chosen charity The
  Dorset & Somerset Air Ambulance. This trip requires a massive amount of planning and funding We will
  be driving through harsh environments Your donation here on this page
  will help us cover a few of the initial fees and expenses involved in
  the Rally. We need to pay a deposit of £1000 to ensure no cars are
  abandoned along the way, a £ 500 entry fee but the biggest cost would
  be the car’s own passport which could cost up £850 depending on the
  countries we choose to drive through. Not to mention the visa’s and
  additional driving permits etc etc as a donor you’ll be able to check
  my face book page and check the progress of the trip and help us raise
  money for the chosen charities GET THE WORD OUT! And thank you for your support. THE CHARITIES: The Dorset & Somerset Air Ambulance The Dorset & Somerset Air Ambulance is a registered charity, which uses a helicopter to provide an air
  ambulance service to the English counties of Dorset and Somerset. Typical incidents for which the assistance of the air ambulance is
  requested by South Western Ambulance Service, include road traffic
  collisions and horse riding accidents, due to the remote locations and
  the severity of injuries involved in such incidents. The helicopter is leased from Bond Air Services and costs in excess
  of £4,000 per day to run and this money has to be raised largely from
  charitable donations. The charity is supported by volunteers spread
  across the two counties who work to raise funds to ensure that this
  service continues. It also runs a weekly lottery which has, to date,
  over 50,000 members. COOL EARTH We know that saving the rainforest isn’t a new idea. Managing to do
  it is. Over the last 40 years, half the world’s rainforests have been
  destroyed. That’s why Cool Earth decided to go about things differently. We don’t create reserves or put up fences. We don’t buy land.
  Instead, we put indigenous people back in control of the world’s most
  endangered rainforest. These people have lived in the forest for
  countless generations. Their homes are now on the frontline of
  deforestation. They have the most to lose from deforestation. Cool Earth is now working alongside 65 rainforest villages throughout
  the world. These partner villages are protecting over 350,000
  acres of forest that lie directly in the path of chainsaws and bulldozers. The clever part is that this forest is forming a shield to make the
  neighbouring forest inaccessible to loggers – saving millions of acres
  of further forest. THANKYOU  :)",283,of £1k goal,https://fundrazr.com/8s6ca,THE MONGOL CHARITY RALLY 2015 FUNDRAISER,10,Pound Sterling
"Hello family and friends! My name is Shelby Gillaird and I am a
  junior psychology major at Spelman College. This summer I have the
  opportunity to study in Japan in an intensive four week program and I
  need your help to get me there. The program is located at Josai
  International University (JIU) in Togane-Chiba, Japan, a city close to
  Tokyo. The program consists of two four credit courses: one language
  course and one cultural course. The goal of this program is to immerse
  students in Japanese culture to not only learn the language but to
  experience life in Japan. I have been working hard in order to raise
  funds for the trip but I need your help as well. The Total Cost Breakdown The cost of tuition is $3,500, this includes a single furnished
      room, all transportation, weekend home-stay and field trips $400 for meals $1500 for round-trip airfare $700 deposit due February 15th Mission Impact Studying abroad is an opportunity for personal growth and to expand
  my knowledge of the world by experiencing a different culture. This
  program not only has cultural benefits but also academic benefits.
  Both the language and cultural courses will help fulfill my
  requirements and keep me on track for graduation.",410,of $4k goal,https://fundrazr.com/cwK9d,Help Send Me To Japan,6,U.S. Dollar
"Hi, I'm JD Larson, and for years people have been telling me I'm
  going to be famous someday making music.  I've done a lot in the music
  business, even played on the Grand Ole Opry, but never really garnered
  the fame and attention that others knew and said I would.  In February
  I'm going to give it 1 more try.  I'm going to Chicago to audition for
  the NBC hit show, The Voice!  But, I'm not going alone.  I want to
  take each and every one of you with me.  That's where you come in. 
  I'm asking for help with travel and lodging expenses, and when you
  give, know that you will be there with me by my side, giving that
  little extra support to help me make it through.  I know times are
  tough, but anything would help, even just $1.  And please pass this
  along to your friends, together we will all make music. Thanks, JD","1,180",of $2k goal,https://fundrazr.com/7sct6,Help JD get to The Voice!,19,U.S. Dollar
I am willing to travel to Texas. Any help is apreciated.,152,of $1.5k goal,https://fundrazr.com/0ugy9,Vacation to Texas,1,U.S. Dollar
"Here I am a girl full of hopes and dreams. Dreams that I wish to
  make possible. However, I know it cant come true with hard work,
  deducation, and most importantly help. My dream is to go to Europe. My
  school just so happened to be going to a trip to Paris, Florence, and
  Rome! It is a dream come true. It has to mean something its an
  opportunity knocking and my door and I dont want to pass it up, a once
  in a life time experience. The trip is a lot of money. I dont want to put the burden on my
  parents. So i thought that maybe if i  can get a job, cancel birthday
  and christmas presents i would be able to afford it. Sadly, its not
  enough. I am passing up my 16th birthday to go to this trip. I need
  you help, please give a donation even a small donation would be
  appreciated. If you do thank you for your contribution, if not thank
  you for having the time to visit my page.",100,of $3.5k goal,https://fundrazr.com/1sode,Help Jhenia achieve her dream trip to France,1,U.S. Dollar
"I love animals and traveling so why not go to Samoa to do what I
  love! Please help me go to Samoa to put my skills in veterinary
  medicine to work and help animals in need. Any amount of donation will
  help! You will be funding towards: Accommodation Food Transportation to and from airport Travel insurance Medical insurance Round-Trip flight I will be traveling with Projects Abroad: From
  castrating goats, cows, and pigs to working in a veterinarian hospital
  as a veterinarian assistant for dogs and cats, I want to learn more
  about animals in a different country. Going to Samoa just puts me one step closer to getting in to
  Veterinarian School and pursue my dreams of becoming an animal surgeon :)",295,of $4.3k goal,https://fundrazr.com/9pLF9,Help me go to Samoa to intern in Vet Medicine!,13,U.S. Dollar
